"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Unidade Gestora";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos"
"11/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"43.007,62";"77.404,74";"168.192,47";"8.826,00"
"08/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"1.769,00";"65.190,08";"81.748,96";"21.425,34"
"03/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"21.971,58";"37.875,73";"20.476,19";"125.410,97"
"10/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"184.928,12";"161.005,63";"17.305,14";"247.362,07"
"04/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"131.995,27";"29.763,33";"83.540,87";"210.666,44"
"01/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"9,20";"0,00";"0,00";"24.849,79"
"07/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"236.989,90";"88.762,22";"63.050,69";"43.514,63"
"09/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"40.674,46";"63.121,10";"104.894,09";"10.280,00"
"12/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"483.371,71";"25.195,03";"118.855,60";"68.345,52"
"06/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"130.015,30";"91.789,56";"117.221,85";"92.766,56"
"02/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"61.385,98";"39.274,14";"816,72";"53.275,62"
"05/2021";"26000 - Ministério da Educação";"26405 - Instituto Federal do Ceará";"158953 - CAMPUS TABULEIRO DO NORTE/IFCE";"302.706,11";"200.418,89";"133.697,93";"91.150,79"
